#! FIELDS phi file.free der_phi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  51
#! SET periodic_phi true
   -3.141592654    0.000000000    0.609072291
   -3.018392942    0.500792567    7.377334259
   -2.895193230    1.776337117   13.081451640
   -2.771993518    3.664700012   17.252255012
   -2.648793806    5.943688746   19.343012746
   -2.525594094    8.321208505   18.711664187
   -2.402394382   10.436642752   15.125176618
   -2.279194670   11.947066189    9.063506150
   -2.155994958   12.623823156    1.832685754
   -2.032795246   12.424046386   -4.954490867
   -1.909595535   11.481167449  -10.033376424
   -1.786395823   10.048898372  -12.901668684
   -1.663196111    8.403203994  -13.494045940
   -1.539996399    6.815952017  -11.992317055
   -1.416796687    5.534535500   -8.521781238
   -1.293596975    4.793457853   -3.305178134
   -1.170397263    4.785832513    3.327180979
   -1.047197551    5.648120357   10.690512003
   -0.923997839    7.412584142   17.822280832
   -0.800798127    9.983102274   23.561235960
   -0.677598415   13.115929738   26.754896706
   -0.554398704   16.438407163   26.557454900
   -0.431198992   19.514208339   22.781906619
   -0.307999280   21.935777662   16.115823787
   -0.184799568   23.423292672    7.862049334
   -0.061599856   23.873065835   -0.503225669
    0.061599856   23.341451409   -7.943404452
    0.184799568   21.973767460  -14.092366177
    0.307999280   19.927700240  -18.966689273
    0.431198992   17.350269058  -22.706854600
    0.554398704   14.392532569  -25.076301586
    0.677598415   11.259114757  -25.446216950
    0.800798127    8.235727621  -23.177277389
    0.923997839    5.664043824  -18.152772851
    1.047197551    3.854716459  -10.947164159
    1.170397263    3.006356772   -2.794908542
    1.293596975    3.148238023    4.921689454
    1.416796687    4.151439960   11.013392411
    1.539996399    5.765957532   14.755508125
    1.663196111    7.674394271   15.749375145
    1.786395823    9.533872205   13.989572546
    1.909595535   11.023288089    9.821732245
    2.032795246   11.888781527    4.010534565
    2.155994958   11.985889533   -2.490797739
    2.279194670   11.290365495   -8.740742208
    2.402394382    9.880922670  -13.973474180
    2.525594094    7.923365102  -17.504807601
    2.648793806    5.667691406  -18.724292874
    2.771993518    3.431469551  -17.137611142
    2.895193230    1.563636666  -12.798174028
    3.018392942    0.363600078   -6.498780360
