#! FIELDS phi file.free der_phi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  51
#! SET periodic_phi true
   -3.141592654  -42.822819508    0.165745034
   -3.018392942  -42.348272159    7.444718636
   -2.895193230  -41.020018988   13.890203363
   -2.771993518  -38.985605335   18.787661472
   -2.648793806  -36.485756423   21.326469191
   -2.525594094  -33.857241549   20.722368764
   -2.402394382  -31.511130903   16.814964227
   -2.279194670  -29.820638685   10.291390606
   -2.155994958  -29.016970670    2.686371695
   -2.032795246  -29.126678151   -4.333652811
   -1.909595535  -30.006294800   -9.645920019
   -1.786395823  -31.413907930  -12.933394144
   -1.663196111  -33.101334592  -14.171803850
   -1.539996399  -34.815123380  -13.360549632
   -1.416796687  -36.297099859  -10.354570588
   -1.293596975  -37.272997535   -5.220343350
   -1.170397263  -37.502491085    1.682416743
   -1.047197551  -36.814633531    9.520345311
   -0.923997839  -35.160563950   17.210858145
   -0.800798127  -32.627839428   23.574372246
   -0.677598415  -29.449650943   27.487999411
   -0.554398704  -25.988096694   28.077724161
   -0.431198992  -22.679757551   25.002018641
   -0.307999280  -19.956715098   18.717673549
   -0.184799568  -18.150189100   10.348390189
   -0.061599856  -17.428763407    1.338693211
    0.061599856  -17.793232981   -7.111760872
    0.184799568  -19.125091681  -14.326695910
    0.307999280  -21.252186544  -19.979372619
    0.431198992  -23.976603442  -23.988711652
    0.554398704  -27.082059508  -26.130304444
    0.677598415  -30.315235349  -25.997714021
    0.800798127  -33.376053804  -23.265062249
    0.923997839  -35.942134727  -18.027377173
    1.047197551  -37.736380024  -10.862746412
    1.170397263  -38.584071431   -2.880909957
    1.293596975  -38.462156381    4.697860143
    1.416796687  -37.490228929   10.746375491
    1.539996399  -35.907768344   14.500945285
    1.663196111  -34.031715866   15.460850374
    1.786395823  -32.217199505   13.522011701
    1.909595535  -30.804339242    9.026258010
    2.032795246  -30.058889291    2.857858580
    2.155994958  -30.118533947   -3.844909250
    2.279194670  -30.979705919  -10.030152123
    2.402394382  -32.531386206  -14.965927406
    2.525594094  -34.588689219  -18.143368596
    2.648793806  -36.907000504  -19.138854537
    2.771993518  -39.191767944  -17.545825234
    2.895193230  -41.117436984  -13.339716877
    3.018392942  -42.390517210   -7.119397026
