#! FIELDS phi file.free der_phi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  51
#! SET periodic_phi true
   -3.141592654 -155.101383927   -1.860822120
   -3.018392942 -154.894181866    5.104525002
   -2.895193230 -153.860500938   11.423134371
   -2.771993518 -152.139673956   16.012240248
   -2.648793806 -149.983774399   18.424903106
   -2.525594094 -147.673451631   18.636425969
   -2.402394382 -145.464596465   16.753935477
   -2.279194670 -143.603212515   13.006577332
   -2.155994958 -142.324251068    7.310912150
   -2.032795246 -141.861537658   -0.229299553
   -1.909595535 -142.385153436   -8.371490688
   -1.786395823 -143.835618196  -14.801169490
   -1.663196111 -145.855843681  -17.387589470
   -1.539996399 -147.914752735  -15.526468846
   -1.416796687 -149.532209764  -10.483346182
   -1.293596975 -150.427550292   -4.100150848
   -1.170397263 -150.502476350    2.764290964
   -1.047197551 -149.715920823    9.946319835
   -0.923997839 -148.037757336   17.092543909
   -0.800798127 -145.526305953   23.215068163
   -0.677598415 -142.381890306   27.289589655
   -0.554398704 -138.898396953   28.703512956
   -0.431198992 -135.415089140   27.176961896
   -0.307999280 -132.319971846   22.375837988
   -0.184799568 -130.034290279   13.996531871
   -0.061599856 -128.962121906    2.928934842
    0.061599856 -129.307619744   -8.513590037
    0.184799568 -130.941545366  -17.619570658
    0.307999280 -133.467451756  -22.792705356
    0.431198992 -136.391310981  -24.307881950
    0.554398704 -139.332770731  -23.291849025
    0.677598415 -142.048691051  -20.741916721
    0.800798127 -144.374660359  -16.825517509
    0.923997839 -146.127459451  -11.522423669
    1.047197551 -147.149793016   -5.133769626
    1.170397263 -147.371335357    1.334665536
    1.293596975 -146.858826958    6.656670785
    1.416796687 -145.804145729   10.018877771
    1.539996399 -144.460134609   11.296564902
    1.663196111 -143.088511833   10.491594351
    1.786395823 -141.953266774    7.444194610
    1.909595535 -141.323081338    2.416873731
    2.032795246 -141.387972110   -3.643686819
    2.155994958 -142.186836106   -9.270046284
    2.279194670 -143.590988794  -13.350952232
    2.402394382 -145.385268052  -15.638208387
    2.525594094 -147.368163893  -16.649174675
    2.648793806 -149.418628959  -16.653814490
    2.771993518 -151.410523753  -15.574008328
    2.895193230 -153.172689556  -12.878748445
    3.018392942 -154.484239196   -8.160984150
