#! FIELDS phi file.free der_phi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  51
#! SET periodic_phi true
   -3.141592654    0.000000000    3.030537048
   -3.018392942    1.000794058   13.029440391
   -2.895193230    3.132622751   21.084792696
   -2.771993518    6.055861721   25.607046260
   -2.648793806    9.283033811   25.958095573
   -2.525594094   12.303543286   22.403801199
   -2.402394382   14.691310199   15.857656204
   -2.279194670   16.161016174    7.749076719
   -2.155994958   16.602819696   -0.576434786
   -2.032795246   16.065856157   -8.057935095
   -1.909595535   14.724599550  -13.384135317
   -1.786395823   12.925520998  -15.216574768
   -1.663196111   11.150326645  -13.095821165
   -1.539996399    9.836514308   -8.039125421
   -1.416796687    9.202433089   -2.435219496
   -1.293596975    9.189258615    1.798749669
   -1.170397263    9.611901114    4.830314353
   -1.047197551   10.405189997    8.171846061
   -0.923997839   11.689641022   12.841120329
   -0.800798127   13.617291204   18.353405742
   -0.677598415   16.195426326   23.144301644
   -0.554398704   19.243916398   25.842529402
   -0.431198992   22.458287738   25.748403138
   -0.307999280   25.470390787   22.522633477
   -0.184799568   27.876461030   15.847738171
   -0.061599856   29.262007170    6.062507187
    0.061599856   29.319384962   -5.280822204
    0.184799568   28.001117659  -15.909339275
    0.307999280   25.520203138  -23.872584504
    0.431198992   22.267631287  -28.490372723
    0.554398704   18.637336456  -30.154162372
    0.677598415   14.950762750  -29.460906750
    0.800798127   11.474896239  -26.630571534
    0.923997839    8.481753232  -21.654626004
    1.047197551    6.238194885  -14.576382437
    1.170397263    4.970668185   -5.853387862
    1.293596975    4.835148373    3.643228368
    1.416796687    5.858172849   12.733002496
    1.539996399    7.902972224   19.885625062
    1.663196111   10.608471864   23.122210551
    1.786395823   13.374974863   20.718345522
    1.909595535   15.482902021   12.615771595
    2.032795246   16.348765228    1.110180401
    2.155994958   15.778187293  -10.130076466
    2.279194670   14.006558961  -18.041512234
    2.402394382   11.520085380  -21.779383697
    2.525594094    8.782296167  -22.476323125
    2.648793806    6.074321690  -21.410450533
    2.771993518    3.579785821  -18.879680176
    2.895193230    1.524557477  -14.152837804
    3.018392942    0.221831233   -6.601115493
